name,RevT,DLM,TCF,TCT,UF,FTs,Size,Art
nyh-csu,,2013-11-11,,,,{},0.0,0
bona-vacantia-estates-advertisements,2013-11-16,2013-11-11,,,,"{u'PDF': 1, u'HTML': 2, u'CSV': 1}",1898.8,4
wcbc001,2013-11-16,2013-11-11,2011-05-12,,,{u'HTML': 1},16.7,1
september-2013-financial-transactions-data-walsall-healthcare-nhs-trust,2013-11-08,2013-11-08,2013-09-01,2013-09-30,,"{u'PDF': 1, u'CSV': 1}",82.1,2
spend-over-25k-october-2013,2013-11-08,2013-11-08,2013-10-01,2013-10-31,,{u'CSV': 1},19.0,1
en-herts-ccg-spend-over-25-ooo-2013-14-month-7,2013-11-08,2013-11-08,,,,{u'cvs': 1},14.8,1
conditional-cautioning-data-q2-2013-2014,2013-11-08,2013-11-08,2013-07-01,2013-09-30,,"{u'CSV': 8, u'HTML': 1}",32.8,9
expenditure-over-25k-october-2013,2013-11-08,2013-11-08,2013-10-01,2013-10-31,,{u'CSV': 1},4.8,1
capital-for-enterprise-ltd-gpc-transactional-spend-more-than-or-equal-to-500,2013-06-19,2013-11-08,2012-04-01,2013-03-31,,"{u'PDF': 1, u'CSV': 1}",181.0,2
nhs-sheffield-ccg-expenditure-over-25k-oct-2013,2013-11-16,2013-11-07,2013-10-01,2013-10-31,monthly,{u'CSV': 1},12.5,1
nhs-rotherham-ccg-expenditure-over-25k-oct-2013,,2013-11-07,2013-10-01,2013-10-31,monthly,{u'CSV': 1},0.0,1
nhs-bassetlaw-ccg-expenditure-over-25k-oct-2013,2013-11-07,2013-11-07,2012-10-01,2013-10-31,monthly,{u'7 / pdf': 1},48.7,1
st-helens-and-knowsley-teaching-hospitals-oct-13,2013-11-06,2013-11-06,2013-10-01,2013-10-31,monthly,{u'CSV': 1},8.4,1
barking-havering-and-redbridge-university-hospitals-nhs-trusts,2013-11-06,2013-11-06,,,monthly,{u'PDF': 1},43.4,1
hs2-gis-route,2013-11-16,2013-11-06,,,,{u'HTML': 1},19.6,1
court-locations,2013-11-16,2013-11-05,,,,"{u'JSON': 1, u'HTML': 1, u'rdfa': 1}",346.8,3
north-norfolk-district-council-leisure-buildings,2013-11-05,2013-11-05,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",10.1,3
disclosure-ministerial-overseas-travel-defra,2013-11-02,2013-11-05,1974-05-13,2010-09-30,quarterly,{u'CSV': 2},27.6,2
town_parish_councils_in_england,2013-06-19,2013-11-05,,,,{u'XLS': 1},905.2,1
north-norfolk-district-council-ssp-proposed-car-parks,2013-11-05,2013-11-05,2010-09-01,2011-02-23,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",23.4,3
north-norfolk-district-council-ssp-proposed-retail,2013-11-05,2013-11-05,2010-09-01,2011-02-23,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",54.4,3
north-norfolk-district-council-tourist-information-centres,2013-11-05,2013-11-05,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",10.2,3
publication-of-hmt-board-expenses,,2013-11-05,,,,{},0.0,0
disclosure-ministerial-gifts-given-defra,2013-11-02,2013-11-05,2001-05-13,2010-09-30,quarterly,{u'CSV': 2},27.6,2
disclosure-ministerial-hospitality-receieved-defra,2013-11-02,2013-11-05,1983-05-13,2010-09-30,quarterly,{u'CSV': 2},27.6,2
north-norfolk-dsitrict-council-ldf-town-centre,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",176.8,3
north-norfolk-district-council-ldf-shopping,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",118.0,3
north-norfolk-district-council-ldf-retail,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",141.4,3
north-norfolk-district-council-admin-buildings,2013-11-16,2013-11-05,2010-01-01,2011-09-30,,"{u'wms': 1, u'KML': 1, u'kmz': 1}",56.8,3
nhs-ashford-25k-spend-for-october-2013,2013-11-05,2013-11-05,2013-10-01,2013-10-31,,{u'XLS': 1},18.8,1
nhs-canterbury-and-coastal-ccg-expenditure-for-october-2013,2013-11-05,2013-11-05,2013-10-01,2013-10-31,,{u'XLS': 1},22.6,1
north-norfolk-district-council-ldf-settlement-boundary,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",13.1,3
north-norfolk-district-council-ldf-countryside,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",3812.8,3
north-norfolk-district-council-ldf-employment,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",261.5,3
north-norfolk-district-council-local-development-framework-car-parks,2013-11-05,2013-11-05,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",66.0,3
north-norfolk-district-council-asset-register,2013-11-05,2013-11-05,2010-04-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",10.2,3
north-norfolk-district-council-depots,2013-11-09,2013-11-05,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmx': 1}",25.3,3
disclosure-ministerial-gifts-receieved-defra,2013-11-02,2013-11-05,1992-05-13,2010-09-30,quarterly,{u'CSV': 2},27.6,2
disclosure-ministerial-external-meetings-defra,2013-11-02,2013-11-05,2010-05-13,2010-09-30,quarterly,{u'CSV': 2},27.6,2
payments-to-suppliers-over-500-for-september-2013-from-acas,2013-11-04,2013-11-04,2013-09-01,2013-09-30,,{u'CSV': 1},36.8,1
individual-electoral-registration-confirmation-dry-run-data,2013-11-04,2013-11-04,2013-07-01,2013-10-17,,{u'XLS': 4},5126.7,4
surrey-heath-borough-council-planning-applications-registered-over-the-last-90-days,2013-11-16,2013-11-04,2013-11-04,,,"{u'georss': 1, u'web application': 1}",181.1,2
prompt-payment-statistics-for-september-2013-from-acas,2013-11-04,2013-11-04,2013-09-01,2013-09-30,,{u'doc': 1},31.2,1
gifts-recieved-by-fco-ministers,2013-10-10,2013-11-02,,,quarterly,{u'CSV': 6},5.7,6
inventory-of-fco-archive,2013-11-16,2013-11-02,,,,{u'CSV': 1},521.2,1
over-25k-expenditure-oct-13,2013-11-16,2013-11-01,2013-10-01,2013-10-31,,{u'CSV': 2},92.8,2
hmrc-international-tax-benchmarking,2013-11-16,2013-11-01,,,,"{u'PDF': 2, u'HTML': 1}",3739.6,3
vts-spend-over-250-for-sep-2013,2013-11-01,2013-11-01,2013-09-01,2013-10-31,monthly,{u'CSV': 4},104.6,4
hmrc-officials-meetings-with-the-tobacco-industry,2013-11-16,2013-11-01,2012-04-01,2013-09-30,quarterly,"{u'PDF': 1, u'HTML': 1, u'CSV': 1}",62.4,3
hmrc-air-travel,2013-11-16,2013-11-01,2011-01-01,2012-12-31,annual,"{u'HTML': 1, u'CSV': 1, u'1 / xls': 1}",5662.6,3
hmrc-survey-of-personal-incomes-spi,2013-11-16,2013-11-01,,,,{u'HTML': 2},60.6,2
national-information-infrastructure,2013-10-31,2013-10-31,,,,{u'CSV': 1},54.2,1
statistics-on-international-development-2013-tables,2013-11-02,2013-10-31,,,,{u'CSV': 20},85.8,20
apprenticeship-vacancies,2013-11-16,2013-10-31,2008-12-01,2013-06-30,monthly,"{u'HTML': 5, u'XLS': 4}",484.3,9
council-spend-above-500,2013-10-30,2013-10-30,,,,{u'CSV': 1},859.3,1
sep2013-expenditure-over-25k,2013-10-30,2013-10-30,,,,{u'CSV': 1},19.8,1
tdc-district-boundary,2013-10-29,2013-10-29,,,,{u'XML': 1},0.5,1
architects-register-search-find-an-architect,2013-10-29,2013-10-29,,,,{u'HTML': 1},38.0,1
expenditure-over-500-architects-registration-board-uk,2013-11-09,2013-10-29,,,,{u'HTML': 2},113.9,2
organisation-chart-architects-registration-board-uk,2013-11-16,2013-10-29,,,,{u'HTML': 1},38.1,1
travel-undertaken-by-fco-senior-staff,2013-10-28,2013-10-28,2013-04-01,2013-06-30,quarterly,{u'CSV': 2},11.9,2
hantsweb-webpage-statistics,2013-11-16,2013-10-28,2013-01-01,,monthly,"{u'url': 1, u'CSV': 1}",620.0,2
hampshire-customer-service-centre-call-statistics,2013-11-16,2013-10-28,2007-08-01,,annual,"{u'url': 1, u'CSV': 1}",22.6,2
hospitality-received-by-fco-senior-staff,2013-10-28,2013-10-28,2013-04-01,2013-06-30,quarterly,{u'CSV': 1},1.0,1
external-meetings-home-office-permanent-secretary,2013-10-28,2013-10-28,2013-04-01,2013-06-30,,{u'odt': 1},6.3,1
financial-transactions-data-cafcass,2013-11-02,2013-10-28,2010-04-01,2013-09-30,monthly,"{u'xlsx': 1, u'CSV': 41}",119.4,42
catchment-management,2013-11-16,2013-10-26,2008,2014,as required (annual),"{u'HTML': 2, u'JSON': 1, u'RDF': 1, u'ttl': 1, u'CSV': 1, u'sparql': 1}",93.0,7
bathing-water,2013-11-16,2013-10-26,1988,2014,Weekly In season,"{u'sparql': 1, u'JSON': 1, u'HTML': 5, u'ttl': 1, u'RDF': 1, u'CSV': 1}",545.9,10
east-sussex-county-council-web-analytics,2013-11-16,2013-10-24,2011-04-01,,,"{u'api': 1, u'HTML': 1}",113.7,2
25k-expenditure-list-ehs,2013-10-21,2013-10-24,2013-04-01,2013-09-30,monthly,{u'CSV': 6},107.3,6
25k-expenditure-list-09g,2013-10-23,2013-10-24,2013-04-01,2013-09-30,monthly,{u'CSV': 6},133.5,6
expenditure-transactions-over-25k-for-september-2013,2013-11-09,2013-10-24,2013-09-01,2013-09-30,,{u'CSV': 1},47.6,1
25k-expenditure-list-99k,2013-10-22,2013-10-24,2013-04-01,2013-09-30,monthly,{u'CSV': 6},69.7,6
25k-expenditure-list-09p,2013-10-22,2013-10-24,2013-04-01,2013-09-30,monthly,{u'CSV': 6},107.0,6
expenditure-over-25000-for-nhs-wigan-borough-ccg,2013-10-24,2013-10-24,2013-04-01,,,"{u'xls ': 2, u'XLS': 4}",180.8,6
september-2013-expenditure-over-25k,2013-10-24,2013-10-24,,,,{u'CSV': 1},6.1,1
broadband-coverage,2013-10-24,2013-10-24,2013-05,2013-06,,"{u'csv / zip': 1, u'HTML': 2, u'CSV': 1}",27769.6,4
mobile-phone-coverage,2013-11-16,2013-10-24,,,,"{u'PDF': 2, u'HTML': 1, u'CSV': 1}",145.4,4
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-september-2013,2013-10-23,2013-10-23,2013-09-01,2013-09-30,,{u'XLS': 1},44.5,1
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-april-2013,2013-10-23,2013-10-23,2013-04-01,2013-04-30,,{u'XLS': 1},46.6,1
blf-grants-data-2004-onwards,2013-11-01,2013-10-23,2004,2013,annual,{u'CSV': 9},58950.7,9
gce-vce_a-as_and_equivalent_examination_results_england,2013-11-16,2013-10-23,,,,{u'XLS': 12},279.2,12
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-june-2013,2013-10-23,2013-10-23,2013-06-01,2013-06-30,,{u'XLS': 1},38.4,1
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-august-2013,2013-10-23,2013-10-23,2013-08-01,2013-08-31,,{u'XLS': 1},44.0,1
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-july-2013,2013-10-23,2013-10-23,2013-07-01,2013-07-31,,{u'XLS': 1},41.5,1
procurement_sfo_august_2013,2013-11-09,2013-10-23,2013-08-01,2013-08-31,,{u'XLS': 1},8.4,1
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-february-2013,2013-10-23,2013-10-23,2013-02-01,2013-02-28,,{u'XLS': 1},44.5,1
surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-may-2013,2013-10-23,2013-10-23,2013-05-01,2013-05-31,,{u'XLS': 1},57.9,1
the_21st_century_mortality_files,2013-11-02,2013-10-22,,,,{u'': 4},82.6,4
public_sector_finances_,2013-11-02,2013-10-22,,,,{u'': 89},1362.9,89
revenue-based_taxes_and_benefits-tax_receipts_and_taxpayers,2013-11-16,2013-10-22,,,monthly,{u'': 112},2201.9,112
workforce-management-information-communities-local-government,2013-10-26,2013-10-22,2011-04-01,2013-08-31,monthly,"{u'CSV': 30, u'XLS': 22}",1263.7,52
statistical_series_1,2013-10-26,2013-10-22,,,,{u'': 3},29.5,3
info-dfid-aid-projects,2013-11-09,2013-10-21,,,monthly,"{u'XML': 115, u'HTML': 2}",69323.5,117
nhs-bassetlaw-ccg-expenditure-over-25k-sep-2013,2013-10-21,2013-10-21,2013-09-01,2013-09-30,monthly,{u'CSV': 1},121.5,1
spend-over-25-000,2013-10-26,2013-10-21,,,monthly,{u'HTML': 6},475.7,6
financial-transactions-data-animal-health,2013-06-19,2013-10-21,2010-04-01,2011-08-31,monthly,{u'CSV': 17},54.8,17
expenditure-over-25-000,2013-10-21,2013-10-21,,,monthly,{u'HTML': 6},168.7,6
expenditure-over-threshold-25-000,2013-10-26,2013-10-21,,,monthly,{u'HTML': 6},306.3,6
farming_statistics,2013-11-16,2013-10-21,,,,{u'': 13},338.8,13
users_and_uses_of_consumer_price_inflation_statistics,2013-11-02,2013-10-19,,,,{u'': 1},16.8,1
alcohol_treatment_statistics_natms,2013-11-15,2013-10-19,,,,{u'': 4},63.4,4
nice_technology_appraisals_in_the_nhs_in_england_innovation_scorecard,2013-11-16,2013-10-19,,,,{u'': 1},63.1,1
numbers_of_patients_registered_at_a_gp_practice,2013-11-16,2013-10-19,,,,{u'': 1},59.6,1
education-and-training-in-england-offender-s-learning-and-skills-service,2013-11-16,2013-10-18,2010-08-01,2012-07-31,annual,"{u'HTML': 3, u'XLS': 2}",535.9,5
further-education-and-skills-in-england-learner-equality-and-diversity,2013-11-16,2013-10-18,2005-08-01,2012-07-31,annual,"{u'PDF': 2, u'HTML': 4, u'XLS': 6}",3204.2,12
further-education-and-skills-annual-data,2013-11-16,2013-10-18,2002-08-01,2012-07-31,annual,"{u'HTML': 3, u'XLS': 11}",5241.4,14
september-2013-spend-over-25k,2013-10-18,2013-10-18,,,,{u'CSV': 1},8.1,1
finance-expenditure-over-25-000,2013-11-16,2013-10-18,2012-07-01,2012-07-31,,{u'CSV': 1},20.3,1
national-joint-registry-10th-annual-report-2013,2013-11-09,2013-10-18,2012-01-01,2012-12-31,,"{u'url': 4, u'CSV': 2}",6080.6,6
workplace-learning,2013-11-16,2013-10-18,2005-08-01,2012-07-31,annual,"{u'HTML': 3, u'XLS': 4}",1065.5,7
skills-funding-agency-subcontracting-register,2013-11-16,2013-10-18,2012-08-01,2014-07-31,quarterly,"{u'PDF': 1, u'CSV': 1, u'excel': 2, u'HTML': 1}",995.3,5
train-to-gain-and-other-employer-based-training-success-rates-in-england,2013-11-16,2013-10-18,2006-04-01,2010-07-31,,"{u'PDF': 1, u'HTML': 3, u'XLS': 1}",344.0,5
skills-funding-agency-procurement-contracts,2013-11-16,2013-10-18,,,,"{u'PDF': 1, u'HTML': 1, u'aspx': 1}",1772.8,3
nhs-west-and-south-yorkshire-and-bassetlaw-csu-expenditure-over-25k-sep-13,2013-10-18,2013-10-18,2013-09-01,2013-09-30,monthly,{u'CSV': 1},0.8,1
crime_statistics,2013-11-09,2013-10-18,,,,{u'': 13},300.5,13
pesticide_usage_survey,2013-11-16,2013-10-18,,,,{u'': 10},273.3,10
super_output_area_mid-year_population_estimates_for_england_and_wales_experimental,2013-11-02,2013-10-18,,,,{u'': 3},58.1,3
quarterly_improving_access_to_psychological_therapies_dataset_reports,2013-11-16,2013-10-18,,,quarterly,{u'': 1},62.4,1
pesticide_usage_on_potatoes_in_store_in_the_uk,2013-11-16,2013-10-18,,,,{u'': 1},23.6,1
woodlands_for_wales_indicators_,2013-11-16,2013-10-18,,,,{u'': 1},43.8,1
apprenticeship-success-rates-in-england-2011-2012,2013-11-16,2013-10-18,2011-08-01,2012-07-31,annual,"{u'PDF': 2, u'CSV': 20, u'XLS': 4, u'HTML': 5}",21780.9,31
apprenticeships-grant-entitlement,2013-11-16,2013-10-18,2012-02-01,2013-04-30,quarterly,"{u'HTML': 3, u'XLS': 2}",769.6,5
community-learning-in-england,2013-11-16,2013-10-18,2005-08-01,2012-07-31,annual,"{u'HTML': 3, u'XLS': 3}",705.9,6
education-and-training-in-england,2013-11-16,2013-10-18,2003-08-01,2012-07-31,annual,"{u'HTML': 3, u'XLS': 4}",1563.7,7
apprenticeships-vacancies,2013-11-16,2013-10-18,2008-12-01,2013-06-30,monthly,"{u'HTML': 5, u'XLS': 4}",484.3,9
apprenticeships-in-england-annual-data,2013-11-16,2013-10-18,2004-08-01,2012-07-31,annual,"{u'HTML': 4, u'XLS': 7}",4028.6,11
apprenticeship-success-rates-in-england-2010-11,2013-11-16,2013-10-18,2010-08-01,2011-07-31,,"{u'PDF': 2, u'HTML': 5, u'XLS': 4}",9138.0,11
apprenticeships-in-england-quarterly-data,2013-11-16,2013-10-18,2002-08-01,2013-04-30,quarterly,"{u'HTML': 4, u'XLS': 21}",12738.8,25
fe-choices,2013-11-16,2013-10-18,2010-08-01,2012-07-31,annual,"{u'aspx': 1, u'CSV': 23, u'ods': 1, u'HTML': 1}",4094.2,26
education-and-training-success-rates-in-england-2011-12,2013-11-16,2013-10-18,2011-08-01,2012-07-31,annual,"{u'PDF': 2, u'CSV': 24, u'XLS': 6, u'HTML': 5}",49887.9,37
nhs-west-and-south-yorkshire-and-bassetlaw-csu-expenditure-over-25k-aug-13,2013-10-18,2013-10-18,2013-08-01,2013-08-31,monthly,{u'CSV': 1},0.3,1
nhs-west-and-south-yorkshire-and-bassetlaw-csu-expenditure-over-25k-jul-13,2013-10-18,2013-10-18,2013-07-01,2013-07-31,monthly,{u'CSV': 1},0.6,1
nhs-west-and-south-yorkshire-and-bassetlaw-csu-expenditure-over-25k-jun-13,2013-10-18,2013-10-18,2013-06-01,2013-06-30,monthly,{u'CSV': 1},0.7,1
local-authority-further-education-and-skills,2013-11-16,2013-10-18,2008-08-01,2011-07-31,,"{u'HTML': 3, u'XLS': 4}",18403.8,7
further-education-and-skills-quarterly-data,2013-11-16,2013-10-18,2002-08-01,2013-01-31,quarterly,"{u'HTML': 3, u'XLS': 3}",792.0,6
skills-for-life,2013-11-16,2013-10-18,2002-08-01,2013-01-31,annual,"{u'HTML': 3, u'XLS': 6}",4993.9,9
learner-responsive-success-rates-in-england-2009-10,2013-11-16,2013-10-18,2009-08-01,2010-07-31,,"{u'PDF': 1, u'HTML': 4, u'XLS': 5}",28494.1,10
further-education-and-skills-local-authority-tables,2013-11-16,2013-10-18,2010-08-01,2012-07-31,annual,"{u'HTML': 3, u'XLS': 8}",174749.9,11
learner-responsive-success-rates-in-england-2008-09,2013-11-16,2013-10-18,2008-08-01,2009-07-31,,"{u'PDF': 1, u'HTML': 4, u'XLS': 8}",26187.8,13
nhs-west-and-south-yorkshire-and-bassetlaw-csu-expenditure-over-25k-may-13,2013-10-18,2013-10-18,2013-05-01,2013-05-31,monthly,{u'CSV': 1},0.2,1
nhs-west-and-south-yorkshire-and-bassetlaw-csu-expenditure-over-25k-apr-13,2013-10-18,2013-10-18,2013-04-01,2013-04-30,monthly,{u'CSV': 1},0.3,1
further-education-and-sixth-form-college-accounts,2013-11-16,2013-10-18,2011-08-01,2012-07-31,annual,"{u'HTML': 1, u'excel': 1, u'1_csv_format / zip': 1}",2891.0,3
education-and-training-in-england-formal-first-steps,2013-11-16,2013-10-18,2008-08-01,2012-07-31,annual,"{u'doc': 1, u'HTML': 3, u'XLS': 1}",442.4,5
education-and-training-success-rates-in-england-2010-11,2013-11-16,2013-10-18,2010-08-01,2011-07-31,,"{u'PDF': 2, u'HTML': 4, u'XLS': 6}",35177.2,12
a-quarterly-updated-list-of-all-mutuals-supported-by-the-mutuals-support-programme,,2013-10-17,2012-10-01,2013-09-30,quarterly,{u'CSV': 1},0.0,1
economic-and-social-benefits-of-further-education-and-skills-learning-for-those-not-in-employment,2013-10-16,2013-10-16,2011-08-01,2012-01-31,,"{u'PDF': 1, u'CSV': 1}",795.2,2
efficiency-in-the-higher-education-sector-technical-exploration,2013-10-16,2013-10-16,,,,"{u'PDF': 1, u'CSV': 1}",657.0,2
nhs-wolverhampton-ccg-september-over-25k-expenditure-report,2013-11-16,2013-10-16,,,,{u'HTML': 1},14.9,1
licensed-taxis,2013-11-16,2013-10-16,,,,"{u'HTML': 1, u'rss': 1}",125.5,2
latest-100-planning-applications-submitted,2013-11-16,2013-10-16,,,,"{u'HTML': 1, u'rss': 1}",91.0,2
northern-devon-healthcare-trust-spend-over-25000-september-2013,2013-11-16,2013-10-16,2013-09-01,2013-09-30,,"{u'HTML': 1, u'CSV': 1}",79.3,2
monthly-land-registry-property-transaction-data,2013-11-16,2013-10-16,,,monthly,"{u'api': 2, u'RDF': 4, u'CSV': 107, u'HTML': 2}",17418.5,115
latest-100-planning-applications-determined,2013-11-16,2013-10-16,,,,"{u'HTML': 1, u'rss': 1}",89.0,2
nhs-sheffield-ccg-expenditure-over-25k-sep-2013,2013-10-16,2013-10-16,2013-09-01,2013-09-30,monthly,{u'CSV': 1},12.8,1
nhs-barnsley-ccg-expenditure-over-25k-sep-2013,2013-10-16,2013-10-16,2013-09-01,2013-09-30,monthly,{u'CSV': 1},6.6,1
